epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1297.57,2.17848,1.4348,1.01773,0.61128,0.59757,0.58351,0.28361,2.00768,1.26058,0.93437,0.00109,0.00109,0.00109
92,1311.93,2.18119,1.43792,1.00736,0.59496,0.54401,0.54096,0.25344,2.04443,1.28036,0.93933,0.000991,0.000991,0.000991
93,1326.42,2.15578,1.41897,1.00399,0.63043,0.60206,0.58966,0.27616,2.02969,1.28275,0.93463,0.000892,0.000892,0.000892
94,1340.8,2.13723,1.41101,1.00884,0.62617,0.57148,0.56494,0.25461,2.13025,1.29014,0.95063,0.000793,0.000793,0.000793
95,1355.13,2.12503,1.38921,1.00557,0.62131,0.58367,0.58122,0.27153,2.07799,1.29737,0.9438,0.000694,0.000694,0.000694
96,1369.68,2.14375,1.3848,1.01234,0.60588,0.61811,0.59662,0.27518,2.10832,1.29911,0.94659,0.000595,0.000595,0.000595
97,1384.13,2.13258,1.39493,1.00464,0.60261,0.57757,0.5564,0.24956,2.11879,1.29093,0.94455,0.000496,0.000496,0.000496
98,1398.53,2.12346,1.38568,1.00744,0.60021,0.60298,0.59243,0.27439,2.11913,1.29416,0.9481,0.000397,0.000397,0.000397
99,1412.93,2.1199,1.39169,1.00359,0.60982,0.58468,0.58947,0.27358,2.09795,1.28246,0.94503,0.000298,0.000298,0.000298
100,1427.25,2.0909,1.36738,0.99583,0.60513,0.57079,0.58152,0.26946,2.09471,1.27726,0.94378,0.000199,0.000199,0.000199
